1001,3,T0001,2026-07-13,08:12:44,4011,BANANAS,6,0.29,1.74,0.00,,DEBIT,N
1001,3,T0001,2026-07-13,08:12:44,7373601001,LUCERNE LARGE EGGS DZ,1,2.49,2.49,0.30,JU4455,DEBIT,N
1001,5,T0002,2026-07-13,08:19:02,1200000138,COCA COLA 12PK,2,5.99,11.98,1.00,JU9910,CREDIT,N
1042,1,T0100,2026-07-13,09:03:31,7680850201,O ORGANICS 2% MILK GAL,1,4.29,4.29,0.00,,CASH,N
1042,1,T0100,2026-07-13,09:03:31,3800020017,CHEERIOS 18OZ,1,3.99,3.99,0.50,JU2231,CASH,N
1042,2,T0101,2026-07-13,09:20:15,4053,AVOCADO HASS,4,0.99,3.96,0.00,,CC,N
2255,4,T0500,2026-07-13,10:44:58,2100061400,SIGNATURE SELECT WATER 24PK,3,3.49,10.47,0.00,JU7788,CREDIT,N
2255,4,T0500,2026-07-13,10:44:58,7680850777,SIGNATURE FARMS CHICKEN BREAST LB,2,3.99,7.98,0.00,JU7788,CREDIT,N
2255,4,T0501,2026-07-13,10:51:10,4011,BANANAS,3,0.29,0.87,0.00,,DEBIT,Y
3300,7,T0900,2026-07-13,11:15:00,3800020017,CHEERIOS 18OZ,2,3.99,7.98,0.00,,EBT,N
3300,7,T0901,2026-07-13,11:22:41,9999999999,UNKNOWN ITEM,1,1.00,1.00,0.00,,CASH,N
